round,ticket_id,annotator,intent,sentiment,role
R2,GF-0003,A1,billing_payments,neutral,overlap
R2,GF-0004,A1,cancellation,negative,overlap
R2,GF-0006,A1,account_access,negative,overlap
R2,GF-0007,A1,account_access,neutral,overlap
R2,GF-0009,A1,refund_request,negative,production
R2,GF-0012,A1,refund_request,negative,overlap
R2,GF-0018,A1,other_contact,positive,production
R2,GF-0022,A1,account_access,negative,overlap
R2,GF-0024,A1,refund_request,neutral,overlap
R2,GF-0026,A1,refund_request,neutral,overlap
R2,GF-0027,A1,other_contact,neutral,production
R2,GF-0028,A1,feedback_complaints,negative,overlap
R2,GF-0030,A1,cancellation,neutral,overlap
R2,GF-0031,A1,refund_request,neutral,overlap
R2,GF-0033,A1,refund_request,positive,overlap
R2,GF-0034,A1,account_access,negative,production
R2,GF-0036,A1,shipping_delivery,negative,overlap
R2,GF-0041,A1,other_contact,negative,overlap
R2,GF-0042,A1,other_contact,neutral,overlap
R2,GF-0045,A1,account_access,negative,overlap
R2,GF-0046,A1,billing_payments,negative,production
R2,GF-0047,A1,other_contact,neutral,production
R2,GF-0048,A1,refund_request,neutral,production
R2,GF-0052,A1,other_contact,negative,production
R2,GF-0054,A1,shipping_delivery,negative,overlap
R2,GF-0055,A1,refund_request,neutral,overlap
R2,GF-0058,A1,refund_request,negative,overlap
R2,GF-0059,A1,shipping_delivery,neutral,production
R2,GF-0063,A1,refund_request,neutral,production
R2,GF-0064,A1,shipping_delivery,neutral,overlap
R2,GF-0067,A1,feedback_complaints,neutral,overlap
R2,GF-0068,A1,cancellation,neutral,production
R2,GF-0069,A1,refund_request,neutral,production
R2,GF-0070,A1,other_contact,positive,production
R2,GF-0071,A1,refund_request,positive,overlap
R2,GF-0072,A1,order_changes,neutral,overlap
R2,GF-0073,A1,shipping_delivery,neutral,production
R2,GF-0075,A1,feedback_complaints,positive,production
R2,GF-0076,A1,refund_request,negative,overlap
R2,GF-0077,A1,cancellation,neutral,production
R2,GF-0078,A1,shipping_delivery,neutral,overlap
R2,GF-0079,A1,billing_payments,negative,production
R2,GF-0081,A1,other_contact,negative,overlap
R2,GF-0082,A1,feedback_complaints,positive,overlap
R2,GF-0088,A1,other_contact,negative,overlap
R2,GF-0090,A1,billing_payments,neutral,production
R2,GF-0091,A1,refund_request,positive,production
R2,GF-0095,A1,order_changes,neutral,production
R2,GF-0096,A1,other_contact,negative,production
R2,GF-0097,A1,shipping_delivery,negative,overlap
R2,GF-0098,A1,feedback_complaints,neutral,overlap
R2,GF-0099,A1,other_contact,neutral,production
R2,GF-0100,A1,billing_payments,positive,production
R2,GF-0105,A1,cancellation,neutral,overlap
R2,GF-0106,A1,cancellation,negative,overlap
R2,GF-0109,A1,other_contact,negative,production
R2,GF-0110,A1,refund_request,neutral,production
R2,GF-0112,A1,other_contact,neutral,overlap
R2,GF-0115,A1,account_access,neutral,overlap
R2,GF-0118,A1,refund_request,neutral,production
R2,GF-0119,A1,shipping_delivery,negative,overlap
R2,GF-0121,A1,other_contact,neutral,overlap
R2,GF-0122,A1,refund_request,neutral,overlap
R2,GF-0123,A1,refund_request,positive,overlap
R2,GF-0124,A1,refund_request,neutral,overlap
R2,GF-0125,A1,other_contact,neutral,production
R2,GF-0126,A1,refund_request,neutral,overlap
R2,GF-0127,A1,feedback_complaints,neutral,production
R2,GF-0129,A1,account_access,negative,overlap
R2,GF-0132,A1,billing_payments,positive,production
R2,GF-0133,A1,other_contact,neutral,production
R2,GF-0134,A1,billing_payments,neutral,overlap
R2,GF-0136,A1,other_contact,negative,production
R2,GF-0138,A1,billing_payments,neutral,overlap
R2,GF-0139,A1,order_changes,neutral,overlap
R2,GF-0141,A1,other_contact,neutral,production
R2,GF-0142,A1,refund_request,negative,overlap
R2,GF-0143,A1,other_contact,positive,production
R2,GF-0144,A1,refund_request,neutral,production
R2,GF-0146,A1,refund_request,neutral,production
R2,GF-0148,A1,shipping_delivery,negative,production
R2,GF-0149,A1,refund_request,neutral,overlap
R2,GF-0150,A1,other_contact,negative,overlap
R2,GF-0151,A1,refund_request,neutral,overlap
R2,GF-0154,A1,feedback_complaints,neutral,production
R2,GF-0155,A1,shipping_delivery,neutral,overlap
R2,GF-0158,A1,refund_request,neutral,production
R2,GF-0159,A1,account_access,negative,overlap
R2,GF-0160,A1,account_access,neutral,overlap
R2,GF-0161,A1,billing_payments,neutral,overlap
R2,GF-0164,A1,billing_payments,neutral,overlap
R2,GF-0166,A1,other_contact,negative,production
R2,GF-0167,A1,cancellation,neutral,production
R2,GF-0169,A1,refund_request,negative,overlap
R2,GF-0170,A1,account_access,neutral,overlap
R2,GF-0175,A1,cancellation,negative,overlap
R2,GF-0176,A1,cancellation,neutral,production
R2,GF-0177,A1,account_access,neutral,production
R2,GF-0179,A1,account_access,neutral,overlap
R2,GF-0180,A1,billing_payments,negative,production
R2,GF-0183,A1,refund_request,neutral,overlap
R2,GF-0184,A1,feedback_complaints,neutral,production
R2,GF-0185,A1,billing_payments,neutral,overlap
R2,GF-0188,A1,refund_request,neutral,overlap
R2,GF-0189,A1,other_contact,neutral,overlap
R2,GF-0190,A1,other_contact,neutral,overlap
R2,GF-0192,A1,billing_payments,negative,overlap
R2,GF-0196,A1,refund_request,neutral,overlap
R2,GF-0197,A1,cancellation,neutral,production
R2,GF-0198,A1,refund_request,negative,overlap
R2,GF-0199,A1,refund_request,neutral,overlap
R2,GF-0200,A1,feedback_complaints,neutral,production
R2,GF-0201,A1,other_contact,negative,production
R2,GF-0202,A1,refund_request,neutral,overlap
R2,GF-0203,A1,other_contact,neutral,overlap
R2,GF-0205,A1,shipping_delivery,negative,overlap
R2,GF-0207,A1,billing_payments,neutral,overlap
R2,GF-0209,A1,refund_request,negative,overlap
R2,GF-0211,A1,refund_request,neutral,production
R2,GF-0212,A1,other_contact,positive,production
R2,GF-0213,A1,account_access,neutral,production
R2,GF-0217,A1,billing_payments,neutral,overlap
R2,GF-0219,A1,other_contact,negative,production
R2,GF-0220,A1,order_changes,neutral,overlap
R2,GF-0221,A1,refund_request,neutral,overlap
R2,GF-0224,A1,other_contact,positive,production
R2,GF-0229,A1,feedback_complaints,neutral,production
R2,GF-0230,A1,billing_payments,positive,production
R2,GF-0232,A1,refund_request,neutral,production
R2,GF-0235,A1,billing_payments,positive,production
R2,GF-0236,A1,billing_payments,neutral,overlap
R2,GF-0238,A1,other_contact,neutral,production
R2,GF-0239,A1,refund_request,neutral,production
R2,GF-0240,A1,refund_request,neutral,production
R2,GF-0242,A1,billing_payments,neutral,production
R2,GF-0243,A1,cancellation,neutral,overlap
R2,GF-0244,A1,other_contact,positive,overlap
R2,GF-0247,A1,refund_request,neutral,overlap
R2,GF-0248,A1,other_contact,neutral,production
R2,GF-0249,A1,refund_request,negative,overlap
R2,GF-0250,A1,cancellation,neutral,overlap
R2,GF-0253,A1,cancellation,positive,overlap
R2,GF-0258,A1,account_access,neutral,production
R2,GF-0261,A1,other_contact,neutral,overlap
R2,GF-0266,A1,billing_payments,neutral,overlap
R2,GF-0267,A1,other_contact,negative,overlap
R2,GF-0271,A1,account_access,negative,production
R2,GF-0272,A1,other_contact,positive,production
R2,GF-0273,A1,cancellation,neutral,overlap
R2,GF-0275,A1,shipping_delivery,negative,overlap
R2,GF-0276,A1,refund_request,negative,overlap
R2,GF-0279,A1,refund_request,neutral,overlap
R2,GF-0280,A1,refund_request,neutral,overlap
R2,GF-0281,A1,billing_payments,negative,overlap
R2,GF-0290,A1,other_contact,neutral,production
R2,GF-0291,A1,refund_request,negative,overlap
R2,GF-0292,A1,shipping_delivery,neutral,overlap
R2,GF-0293,A1,billing_payments,negative,production
R2,GF-0295,A1,order_changes,positive,overlap
R2,GF-0296,A1,billing_payments,negative,production
R2,GF-0297,A1,shipping_delivery,neutral,production
R2,GF-0298,A1,refund_request,negative,overlap
R2,GF-0299,A1,other_contact,neutral,overlap
R2,GF-0301,A1,billing_payments,negative,production
R2,GF-0305,A1,other_contact,neutral,production
R2,GF-0307,A1,other_contact,neutral,production
R2,GF-0308,A1,refund_request,positive,production
R2,GF-0309,A1,other_contact,positive,production
R2,GF-0312,A1,feedback_complaints,neutral,production
R2,GF-0315,A1,billing_payments,neutral,production
R2,GF-0317,A1,refund_request,neutral,production
R2,GF-0318,A1,cancellation,positive,overlap
R2,GF-0319,A1,cancellation,neutral,overlap
R2,GF-0321,A1,shipping_delivery,neutral,overlap
R2,GF-0324,A1,refund_request,neutral,overlap
R2,GF-0325,A1,shipping_delivery,neutral,overlap
R2,GF-0326,A1,billing_payments,neutral,production
R2,GF-0328,A1,feedback_complaints,neutral,production
R2,GF-0330,A1,refund_request,neutral,production
R2,GF-0332,A1,other_contact,neutral,overlap
R2,GF-0333,A1,other_contact,neutral,production
R2,GF-0334,A1,other_contact,neutral,overlap
R2,GF-0336,A1,shipping_delivery,negative,overlap
