ticket_id,text,source,design_intent,ambiguity_type,augmentation,design_sentiment,borderline,is_gold,is_calibration,batch,in_overlap
GF-0001,I have got to locate order #4661544,bitext,shipping_delivery,none,none,neutral,False,False,False,B4,False
GF-0002,could you help me notify of payment problems?,bitext,billing_payments,none,none,neutral,False,False,False,B1,False
GF-0003,"I don't mean to trouble you, but the payment went through twice.",injected_polite_complaint,billing_payments,polite_complaint,none,negative,True,False,False,B2,True
GF-0004,Very upsetting situation. tell me about canceling the subscription to ur newsletter,bitext,other_contact,none,neg_wrap,negative,True,False,False,B3,True
GF-0005,i cannot sign up i need to notify of signup proiblems,bitext,account_access,none,none,neutral,False,False,False,B2,False
GF-0006,Absolutely pathetic service. Issue the refund for #2176675 like you promised.,injected_tone_trap,refund_request,tone_trap,none,negative,True,False,False,B3,True
GF-0007,how do I use the #6658042 profile?,bitext,account_access,none,none,neutral,False,True,False,B3,True
GF-0008,"I want to write a comment about a product, how can I do it?",bitext,feedback_complaints,none,none,neutral,False,False,False,B2,False
GF-0009,Very upsetting situation. rebating $40 dollars,bitext,refund_request,none,neg_wrap,negative,False,False,False,B1,False
GF-0010,I want help to file a reclamation against your business,bitext,feedback_complaints,none,none,neutral,False,False,False,B3,False
GF-0011,"I have to see the status of the rebate, will you help me?",bitext,refund_request,none,none,neutral,False,False,False,B2,False
GF-0012,Your support is useless. Just give me my money back for order #1866995.,injected_tone_trap,refund_request,tone_trap,none,negative,True,True,False,B4,True
GF-0013,need help to see what hours i can contact customer support,bitext,other_contact,none,none,neutral,False,False,False,B4,False
GF-0014,can you help me check what shipment methods are there?,bitext,shipping_delivery,none,none,neutral,False,False,False,B4,False
GF-0015,I want to locate purchase #6658042,bitext,shipping_delivery,none,none,neutral,False,False,False,B2,False
GF-0016,i have got to se how long the shipment takes how to do it,bitext,shipping_delivery,none,none,neutral,False,False,False,B2,False
GF-0017,Frustrated customer here. is there an e-mail to submit a comment for your services?,bitext,feedback_complaints,none,neg_wrap,negative,False,False,False,B1,False
GF-0018,You guys are awesome. Quick question: i want assistance to swap something of purchase #8438443,bitext,order_changes,none,pos_wrap,positive,False,False,False,B1,False
GF-0019,"I need to earn a goddamn article, could you help me?",bitext,order_changes,none,none,neutral,False,False,False,B3,False
GF-0020,help me creating a freemium account,bitext,account_access,none,none,neutral,False,False,False,B3,False
GF-0021,want help modifying my address,bitext,shipping_delivery,none,none,neutral,False,False,False,B2,False
GF-0022,Brilliant — I can't reset my password because your site is down. You never disappoint.,injected_sarcasm,account_access,sarcasm,none,negative,True,True,False,B2,True
GF-0023,how to make a consumer claim against ur company,bitext,feedback_complaints,none,none,neutral,False,False,False,B2,False
GF-0024,Billed $14.5 after I already cancelled (#7471523). Refund it.,injected_mixed_intent,refund_request,mixed_intent,none,negative,True,True,False,B4,True
GF-0025,can uhelp me cancelling purchase #8757008,bitext,cancellation,none,none,neutral,False,False,False,B3,False
GF-0026,Either cancel #6648298 today or refund my money — your pick.,injected_mixed_intent,refund_request,mixed_intent,none,neutral,True,False,False,B3,True
GF-0027,what time can I get in touch with customer support?,bitext,other_contact,none,none,neutral,False,False,False,B2,False
GF-0028,"Love the new site, by the way! i call to lodge a customer complaint against ur organization",bitext,feedback_complaints,none,pos_wrap,positive,True,False,False,B4,True
GF-0029,where can i shop some articles,bitext,order_changes,none,none,neutral,False,False,False,B4,False
GF-0030,Cancel #1168557 and explain this mystery $49.99 charge on my statement.,injected_mixed_intent,cancellation,mixed_intent,none,neutral,True,False,False,B1,True
GF-0031,Cancel my order #3045073 and refund the $120 to my card today.,injected_mixed_intent,refund_request,mixed_intent,none,neutral,True,True,False,B2,True
GF-0032,i nee help to cancel order $25,bitext,cancellation,none,none,neutral,False,False,False,B1,False
GF-0033,"Yeah, because I still don't have my refund is totally my favorite thing.",injected_sarcasm,refund_request,sarcasm,none,negative,True,False,False,B4,True
GF-0034,I'm getting tired of this awful runaround. could utell me more abouut creating a #1866995 account,bitext,account_access,none,neg_wrap,negative,False,False,False,B3,False
GF-0035,"I want to see the allowed payment methods, can you help me?",bitext,billing_payments,none,none,neutral,False,False,False,B4,False
GF-0036,Still no package.,injected_short_fragment,shipping_delivery,short_fragment,none,negative,True,False,False,B4,True
GF-0037,I need to talk to a operator,bitext,other_contact,none,none,neutral,False,False,False,B2,False
GF-0038,is it possible to notify of a problem with a signup?,bitext,account_access,none,none,neutral,False,False,False,B4,False
GF-0039,You guys are awesome. Quick question: i need help to leave some feedback about ur services,bitext,feedback_complaints,none,pos_wrap,positive,False,False,False,B4,False
GF-0040,solve a trouble with payment,bitext,billing_payments,none,none,neutral,False,False,False,B4,False
GF-0041,Very upsetting situation. i am experiencing a problem with the sign-up,bitext,account_access,none,neg_wrap,negative,False,False,False,B3,True
GF-0042,I have to unsubscribe from the company newsletter,bitext,other_contact,none,none,neutral,False,False,False,B2,True
GF-0043,Frustrated customer here. i am trying to retrieve the key of my user account,bitext,account_access,none,neg_wrap,negative,False,False,False,B3,False
GF-0044,Frustrated customer here. swithcing to $120 account,bitext,account_access,none,neg_wrap,negative,False,False,False,B1,False
GF-0045,Fantastic service as always: I can't reset my password because your site is down.,injected_sarcasm,account_access,sarcasm,none,negative,True,False,False,B4,True
GF-0046,help to inform of troubles with online payments,bitext,billing_payments,none,none,neutral,False,False,False,B4,False
GF-0047,I want assistance deleting my #1471645 account,bitext,account_access,none,none,neutral,False,False,False,B1,False
GF-0048,can I check if there are any news on my reimbursement?,bitext,refund_request,none,none,neutral,False,False,False,B1,False
GF-0049,I have to sde in what cases can I request a refund,bitext,other_contact,none,none,neutral,False,False,False,B2,False
GF-0050,where do I receive rebates of my money?,bitext,refund_request,none,none,neutral,False,False,False,B4,False
GF-0051,is it possible to check the early termination charges?,bitext,cancellation,none,none,neutral,False,False,False,B1,False
