ticket_id,label_role,first_pass_intent,final_intent,intent_rework,first_pass_sentiment,final_sentiment,sentiment_rework,qa_stage
GF-0001,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0002,production,billing_payments,billing_payments,False,negative,negative,False,tier2_senior_review
GF-0003,overlap,billing_payments,billing_payments,False,negative,negative,False,tier2_senior_review
GF-0004,overlap,cancellation,cancellation,False,negative,negative,False,tier2_senior_review
GF-0005,production,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0006,overlap,refund_request,refund_request,False,negative,negative,False,tier2_senior_review
GF-0007,overlap,account_access,account_access,False,neutral,neutral,False,tier2_senior_review
GF-0008,production,feedback_complaints,feedback_complaints,False,neutral,neutral,False,tier2_senior_review
GF-0009,production,refund_request,refund_request,False,negative,negative,False,tier2_senior_review
GF-0010,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0011,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0012,overlap,refund_request,refund_request,False,negative,negative,False,tier2_senior_review
GF-0013,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0014,production,shipping_delivery,shipping_delivery,False,neutral,neutral,False,tier2_senior_review
GF-0015,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0016,production,shipping_delivery,shipping_delivery,False,neutral,neutral,False,tier2_senior_review
GF-0017,production,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0018,production,other_contact,other_contact,False,positive,positive,False,tier2_senior_review
GF-0019,production,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0020,production,account_access,account_access,False,neutral,neutral,False,tier2_senior_review
GF-0021,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0022,overlap,account_access,account_access,False,negative,negative,False,tier2_senior_review
GF-0023,production,feedback_complaints,feedback_complaints,False,neutral,neutral,False,tier2_senior_review
GF-0024,overlap,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0025,production,cancellation,cancellation,False,neutral,neutral,False,tier2_senior_review
GF-0026,overlap,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0027,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0028,overlap,feedback_complaints,feedback_complaints,False,negative,negative,False,tier2_senior_review
GF-0029,production,account_access,other_contact,True,neutral,neutral,False,tier2_senior_review
GF-0030,overlap,cancellation,cancellation,False,neutral,neutral,False,tier2_senior_review
GF-0031,overlap,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0032,production,cancellation,cancellation,False,neutral,neutral,False,tier2_senior_review
GF-0033,overlap,refund_request,refund_request,False,positive,positive,False,tier2_senior_review
GF-0034,production,account_access,account_access,False,negative,negative,False,tier2_senior_review
GF-0035,production,billing_payments,billing_payments,False,neutral,neutral,False,tier2_senior_review
GF-0036,overlap,shipping_delivery,shipping_delivery,False,negative,negative,False,tier2_senior_review
GF-0037,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0038,production,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0039,production,feedback_complaints,feedback_complaints,False,positive,positive,False,tier2_senior_review
GF-0040,production,billing_payments,billing_payments,False,negative,negative,False,tier2_senior_review
GF-0041,overlap,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0042,overlap,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0043,production,account_access,account_access,False,negative,negative,False,tier2_senior_review
GF-0044,production,account_access,account_access,False,negative,negative,False,tier2_senior_review
GF-0045,overlap,account_access,account_access,False,negative,negative,False,tier2_senior_review
GF-0046,production,billing_payments,billing_payments,False,negative,negative,False,tier2_senior_review
GF-0047,production,other_contact,account_access,True,neutral,neutral,False,tier2_senior_review
GF-0048,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0049,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0050,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0051,production,billing_payments,billing_payments,False,neutral,neutral,False,tier2_senior_review
GF-0052,production,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0053,production,shipping_delivery,shipping_delivery,False,positive,positive,False,tier2_senior_review
GF-0054,overlap,shipping_delivery,shipping_delivery,False,negative,negative,False,tier2_senior_review
GF-0055,overlap,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0056,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0057,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0058,overlap,refund_request,refund_request,False,negative,negative,False,tier2_senior_review
GF-0059,production,shipping_delivery,shipping_delivery,False,neutral,neutral,False,tier2_senior_review
GF-0060,production,feedback_complaints,feedback_complaints,False,neutral,neutral,False,tier2_senior_review
GF-0061,production,billing_payments,billing_payments,False,negative,negative,False,tier2_senior_review
GF-0062,production,order_changes,order_changes,False,neutral,neutral,False,tier2_senior_review
GF-0063,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0064,overlap,shipping_delivery,shipping_delivery,False,neutral,neutral,False,tier2_senior_review
GF-0065,production,billing_payments,billing_payments,False,negative,negative,False,tier2_senior_review
GF-0066,production,account_access,account_access,False,neutral,neutral,False,tier2_senior_review
GF-0067,overlap,feedback_complaints,feedback_complaints,False,neutral,neutral,False,tier2_senior_review
GF-0068,production,cancellation,cancellation,False,neutral,neutral,False,tier2_senior_review
GF-0069,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0070,production,other_contact,other_contact,False,positive,positive,False,tier2_senior_review
GF-0071,overlap,refund_request,refund_request,False,positive,positive,False,tier2_senior_review
GF-0072,overlap,order_changes,order_changes,False,neutral,neutral,False,tier2_senior_review
GF-0073,production,shipping_delivery,shipping_delivery,False,neutral,neutral,False,tier2_senior_review
GF-0074,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0075,production,feedback_complaints,feedback_complaints,False,positive,positive,False,tier2_senior_review
GF-0076,overlap,refund_request,refund_request,False,negative,negative,False,tier2_senior_review
GF-0077,production,cancellation,cancellation,False,neutral,neutral,False,tier2_senior_review
GF-0078,overlap,shipping_delivery,shipping_delivery,False,neutral,neutral,False,tier2_senior_review
GF-0079,production,billing_payments,billing_payments,False,negative,negative,False,tier2_senior_review
GF-0080,production,billing_payments,billing_payments,False,negative,negative,False,tier2_senior_review
GF-0081,overlap,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0082,overlap,feedback_complaints,feedback_complaints,False,positive,positive,False,tier2_senior_review
GF-0083,production,billing_payments,billing_payments,False,neutral,neutral,False,tier2_senior_review
GF-0084,production,cancellation,account_access,True,negative,negative,False,tier2_senior_review
GF-0085,production,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0086,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0087,production,billing_payments,billing_payments,False,neutral,neutral,False,tier2_senior_review
GF-0088,overlap,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0089,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0090,production,billing_payments,billing_payments,False,neutral,negative,True,tier2_senior_review
GF-0091,production,refund_request,refund_request,False,positive,positive,False,tier2_senior_review
GF-0092,production,cancellation,cancellation,False,positive,positive,False,tier2_senior_review
GF-0093,production,account_access,account_access,False,positive,positive,False,tier2_senior_review
GF-0094,production,other_contact,other_contact,False,neutral,negative,True,tier2_senior_review
GF-0095,production,order_changes,order_changes,False,neutral,neutral,False,tier2_senior_review
GF-0096,production,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0097,overlap,shipping_delivery,shipping_delivery,False,negative,negative,False,tier2_senior_review
GF-0098,overlap,feedback_complaints,feedback_complaints,False,neutral,neutral,False,tier2_senior_review
GF-0099,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0100,production,billing_payments,billing_payments,False,positive,positive,False,tier2_senior_review
GF-0101,production,feedback_complaints,feedback_complaints,False,neutral,neutral,False,tier2_senior_review
GF-0102,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0103,production,feedback_complaints,feedback_complaints,False,neutral,neutral,False,tier2_senior_review
GF-0104,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0105,overlap,cancellation,cancellation,False,neutral,neutral,False,tier2_senior_review
GF-0106,overlap,cancellation,cancellation,False,negative,negative,False,tier2_senior_review
GF-0107,production,shipping_delivery,shipping_delivery,False,negative,negative,False,tier2_senior_review
GF-0108,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0109,production,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0110,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0111,production,account_access,account_access,False,neutral,neutral,False,tier2_senior_review
GF-0112,overlap,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0113,production,billing_payments,billing_payments,False,negative,negative,False,tier2_senior_review
GF-0114,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0115,overlap,account_access,account_access,False,neutral,neutral,False,tier2_senior_review
GF-0116,production,account_access,account_access,False,neutral,neutral,False,tier2_senior_review
GF-0117,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0118,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0119,overlap,shipping_delivery,shipping_delivery,False,negative,negative,False,tier2_senior_review
GF-0120,production,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0121,overlap,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0122,overlap,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0123,overlap,refund_request,refund_request,False,positive,positive,False,tier2_senior_review
GF-0124,overlap,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0125,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0126,overlap,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0127,production,feedback_complaints,feedback_complaints,False,neutral,neutral,False,tier2_senior_review
GF-0128,production,feedback_complaints,billing_payments,True,neutral,neutral,False,tier2_senior_review
GF-0129,overlap,account_access,account_access,False,negative,negative,False,tier2_senior_review
GF-0130,production,shipping_delivery,shipping_delivery,False,neutral,neutral,False,tier2_senior_review
GF-0131,production,refund_request,refund_request,False,negative,negative,False,tier2_senior_review
GF-0132,production,billing_payments,billing_payments,False,positive,positive,False,tier2_senior_review
GF-0133,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0134,overlap,billing_payments,billing_payments,False,neutral,neutral,False,tier2_senior_review
GF-0135,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0136,production,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0137,production,feedback_complaints,feedback_complaints,False,neutral,neutral,False,tier2_senior_review
GF-0138,overlap,billing_payments,billing_payments,False,neutral,neutral,False,tier2_senior_review
GF-0139,overlap,order_changes,order_changes,False,neutral,neutral,False,tier2_senior_review
GF-0140,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0141,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0142,overlap,refund_request,refund_request,False,negative,negative,False,tier2_senior_review
GF-0143,production,other_contact,other_contact,False,positive,positive,False,tier2_senior_review
GF-0144,production,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
GF-0145,production,other_contact,other_contact,False,neutral,neutral,False,tier2_senior_review
GF-0146,production,refund_request,billing_payments,True,neutral,negative,True,tier2_senior_review
GF-0147,production,order_changes,order_changes,False,neutral,neutral,False,tier2_senior_review
GF-0148,production,shipping_delivery,shipping_delivery,False,negative,negative,False,tier2_senior_review
GF-0149,overlap,refund_request,refund_request,False,negative,negative,False,tier2_senior_review
GF-0150,overlap,other_contact,other_contact,False,negative,negative,False,tier2_senior_review
GF-0151,overlap,refund_request,refund_request,False,neutral,neutral,False,tier2_senior_review
