ticket_id,final_intent,audit_reference,ref_source,verdict
GF-0596,refund_request,refund_request,gold_set,pass
GF-0491,refund_request,refund_request,gold_set,pass
GF-0400,refund_request,refund_request,independent_rule_derivation,pass
GF-0488,refund_request,refund_request,independent_rule_derivation,pass
GF-0183,refund_request,refund_request,independent_rule_derivation,pass
GF-0012,refund_request,refund_request,gold_set,pass
GF-0269,refund_request,refund_request,independent_rule_derivation,pass
GF-0151,refund_request,refund_request,independent_rule_derivation,pass
GF-0135,refund_request,refund_request,independent_rule_derivation,pass
GF-0409,refund_request,refund_request,independent_rule_derivation,pass
GF-0330,refund_request,refund_request,independent_rule_derivation,pass
GF-0509,refund_request,refund_request,independent_rule_derivation,pass
GF-0048,refund_request,refund_request,independent_rule_derivation,pass
GF-0545,refund_request,refund_request,independent_rule_derivation,pass
GF-0291,refund_request,refund_request,independent_rule_derivation,pass
GF-0359,cancellation,cancellation,independent_rule_derivation,pass
GF-0551,cancellation,cancellation,independent_rule_derivation,pass
GF-0214,cancellation,cancellation,independent_rule_derivation,pass
GF-0475,cancellation,cancellation,independent_rule_derivation,pass
GF-0573,cancellation,cancellation,independent_rule_derivation,pass
GF-0581,cancellation,cancellation,gold_set,pass
GF-0446,cancellation,cancellation,independent_rule_derivation,pass
GF-0216,cancellation,cancellation,independent_rule_derivation,pass
GF-0105,cancellation,cancellation,independent_rule_derivation,pass
GF-0319,cancellation,cancellation,gold_set,pass
GF-0167,cancellation,cancellation,independent_rule_derivation,pass
GF-0030,cancellation,cancellation,independent_rule_derivation,pass
GF-0429,cancellation,cancellation,independent_rule_derivation,pass
GF-0273,cancellation,cancellation,gold_set,pass
GF-0004,cancellation,cancellation,independent_rule_derivation,pass
GF-0563,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0264,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0457,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0398,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0572,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0061,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0181,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0326,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0510,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0408,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0146,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0539,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0569,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0304,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0494,billing_payments,billing_payments,independent_rule_derivation,pass
GF-0547,shipping_delivery,shipping_delivery,gold_set,pass
GF-0321,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0300,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0595,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0016,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0059,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0119,shipping_delivery,shipping_delivery,gold_set,pass
GF-0310,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0073,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0410,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0252,shipping_delivery,shipping_delivery,independent_rule_derivation,pass
GF-0325,shipping_delivery,shipping_delivery,gold_set,pass
