ticket_id,text,intent_label,sentiment_label
GF-0001,I have got to locate order #4661544,,
GF-0002,could you help me notify of payment problems?,,
GF-0003,"I don't mean to trouble you, but the payment went through twice.",,
GF-0004,Very upsetting situation. tell me about canceling the subscription to ur newsletter,,
GF-0005,i cannot sign up i need to notify of signup proiblems,,
GF-0006,Absolutely pathetic service. Issue the refund for #2176675 like you promised.,,
GF-0007,how do I use the #6658042 profile?,,
GF-0008,"I want to write a comment about a product, how can I do it?",,
GF-0009,Very upsetting situation. rebating $40 dollars,,
GF-0010,I want help to file a reclamation against your business,,
GF-0011,"I have to see the status of the rebate, will you help me?",,
GF-0012,Your support is useless. Just give me my money back for order #1866995.,,
GF-0013,need help to see what hours i can contact customer support,,
GF-0014,can you help me check what shipment methods are there?,,
GF-0015,I want to locate purchase #6658042,,
GF-0016,i have got to se how long the shipment takes how to do it,,
GF-0017,Frustrated customer here. is there an e-mail to submit a comment for your services?,,
GF-0018,You guys are awesome. Quick question: i want assistance to swap something of purchase #8438443,,
GF-0019,"I need to earn a goddamn article, could you help me?",,
GF-0020,help me creating a freemium account,,
GF-0021,want help modifying my address,,
GF-0022,Brilliant — I can't reset my password because your site is down. You never disappoint.,,
GF-0023,how to make a consumer claim against ur company,,
GF-0024,Billed $14.5 after I already cancelled (#7471523). Refund it.,,
GF-0025,can uhelp me cancelling purchase #8757008,,
GF-0026,Either cancel #6648298 today or refund my money — your pick.,,
GF-0027,what time can I get in touch with customer support?,,
GF-0028,"Love the new site, by the way! i call to lodge a customer complaint against ur organization",,
GF-0029,where can i shop some articles,,
GF-0030,Cancel #1168557 and explain this mystery $49.99 charge on my statement.,,
GF-0031,Cancel my order #3045073 and refund the $120 to my card today.,,
GF-0032,i nee help to cancel order $25,,
GF-0033,"Yeah, because I still don't have my refund is totally my favorite thing.",,
GF-0034,I'm getting tired of this awful runaround. could utell me more abouut creating a #1866995 account,,
GF-0035,"I want to see the allowed payment methods, can you help me?",,
GF-0036,Still no package.,,
GF-0037,I need to talk to a operator,,
GF-0038,is it possible to notify of a problem with a signup?,,
GF-0039,You guys are awesome. Quick question: i need help to leave some feedback about ur services,,
GF-0040,solve a trouble with payment,,
GF-0041,Very upsetting situation. i am experiencing a problem with the sign-up,,
GF-0042,I have to unsubscribe from the company newsletter,,
GF-0043,Frustrated customer here. i am trying to retrieve the key of my user account,,
GF-0044,Frustrated customer here. swithcing to $120 account,,
GF-0045,Fantastic service as always: I can't reset my password because your site is down.,,
GF-0046,help to inform of troubles with online payments,,
GF-0047,I want assistance deleting my #1471645 account,,
GF-0048,can I check if there are any news on my reimbursement?,,
GF-0049,I have to sde in what cases can I request a refund,,
GF-0050,where do I receive rebates of my money?,,
GF-0051,is it possible to check the early termination charges?,,
GF-0052,Frustrated customer here. i'm trying to get in touch with bloody customer service,,
GF-0053,Thanks so much! i don't know how to see the shipping methods,,
GF-0054,"Love how my delivery went to the wrong address. Really top-notch stuff, guys.",,
GF-0055,I want to cancel order #8178526. When do I get my money back?,,
GF-0056,wana correct order #2275152,,
GF-0057,wanna change my fucking address,,
GF-0058,I want to know if there is anything wrong with my rebate,,
GF-0059,"I have got to see the delivery methods, how to do it?",,
GF-0060,ya have a method to send a comment about a product,,
GF-0061,i need assistance solving errors with payments,,
GF-0062,can i place an order frim $58,,
GF-0063,can you help me check my restitution status?,,
GF-0064,Would you be able to tell me why the package is still in transit after a week?,,
GF-0065,Frustrated customer here. tell me ur alowed payment options,,
GF-0066,I do not know how to retrieve my bloody account PIN code,,
GF-0067,help to file a consumer complaint,,
GF-0068,can I cancel my subscription to your corporate newsletter?,,
GF-0069,i have to request a compensation of my money,,
GF-0070,Thanks so much! i have got to earn some of your article,,
GF-0071,I'd appreciate an update on my refund; it's been two weeks now.,,
GF-0072,I want help to remove some products from order $75,,
GF-0073,where could I get information about shipping period?,,
GF-0074,I have got to see the early exit penalpties,,
GF-0075,"Love the new site, by the way! how tolodge a customer complaint",,
GF-0076,Very upsetting situation. i have paid $64.2#8178526 for an item help me receive a compensation,,
GF-0077,need help to cancel purchase #5936436,,
GF-0078,I was wondering why my order still hasn't shipped after ten days.,,
GF-0079,i cant make payments help to report issues with payments,,
GF-0080,help to solve an error withonline payments,,
GF-0081,Very upsetting situation. acn you help me changing something of purchase #4072634?,,
GF-0082,Great experience so far. want help ot write a review for a service,,
GF-0083,checking bill from #6818269,,
GF-0084,have a problem with the deletio of my premium account,,
GF-0085,Honestly quite annoyed — updating order $64.2,,
GF-0086,what do I need to do to call customer assistance?,,
GF-0087,"I lost bill #37777, mail it to me",,
GF-0088,Great experience so far. help me make a claim against your business,,
GF-0089,I try to check in which cases can I ask to be reimbursed,,
GF-0090,I need help to find my damn invoice from #8178526,,
GF-0091,Great experience so far. i have got to obtain reimbursements of money,,
GF-0092,Great experience so far. i have a question about canceling order #2577926,,
GF-0093,Thanks so much! i need an $19.99 account,,
GF-0094,can i inform of sign-up problems,,
GF-0095,can i place an order from #6350779,,
GF-0096,I'm caalling to check how soon can i expect the damn order,,
GF-0097,"May I ask why my parcel never arrived, even though tracking says delivered?",,
GF-0098,want help sending feedback for a product,,
GF-0099,I'm trying to earn a product,,
GF-0100,Thanks so much! i do not know what I need to do to download my bill #85632,,
GF-0101,is there a method to leave some feedback for a product?,,
GF-0102,rebate #1866995#5936436,,
GF-0103,help me file a consumer complaint against ur company,,
GF-0104,what do i have to do to sign up to ur company newslettee,,
GF-0105,I need assistanc canceling the newsletter subscription,,
GF-0106,Unacceptable. Cancel order #5791940 immediately.,,
GF-0107,I can't enter a different shipping address,,
GF-0108,i want help to check the early exit penalties,,
GF-0109,I'm getting tired of this awful runaround. need assistance to purchase several of your article,,
GF-0110,how do I check the current status of my restitution?,,
GF-0111,can I use the gold profile?,,
GF-0112,do uship to #3897973,,
GF-0113,"I cannot pay, I want to report bloody problems with payment",,
GF-0114,how can i ask for a ocmpensation of my money,,
GF-0115,could I reset my account PIN?,,
GF-0116,I don't know what I need to do to close a #8649800 account,,
